               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,             0.08821,             0.03386,            0.079242,           0.0064833,             0.93444,            0.071989,            0.031461,            0.045941,            0.012479,            0.062861,             0.07027,           0.0033033,           0.0033033
                   1,            0.057401,            0.028931,            0.070963,              0.1541,             0.28811,             0.17572,             0.11501,            0.038013,           0.0072773,            0.065016,            0.040237,           0.0066038,           0.0066038
                   2,            0.054002,            0.026119,            0.063946,             0.58128,             0.22444,             0.30183,             0.13499,            0.049535,           0.0062649,            0.054458,            0.010172,           0.0098713,           0.0098713
                   3,            0.050683,            0.024903,            0.055236,             0.49108,             0.43106,             0.38961,             0.17997,            0.040191,           0.0060766,            0.041817,           0.0098515,           0.0098515,           0.0098515
                   4,            0.047654,            0.023872,            0.045275,             0.45074,             0.50874,             0.57615,             0.26059,            0.045839,           0.0059638,            0.022793,           0.0098515,           0.0098515,           0.0098515
                   5,            0.047072,            0.023503,              0.0402,             0.58598,             0.69706,             0.68561,             0.45661,            0.036167,           0.0058594,            0.023236,            0.009802,            0.009802,            0.009802
                   6,            0.046905,            0.023366,            0.033452,             0.57321,             0.83271,             0.80767,              0.5577,            0.033534,           0.0057709,            0.021273,           0.0097525,           0.0097525,           0.0097525
                   7,            0.044785,            0.022975,            0.030403,             0.79834,             0.54659,             0.77678,             0.46256,            0.029051,            0.006104,            0.013076,            0.009703,            0.009703,            0.009703
                   8,            0.043218,            0.022412,            0.025714,             0.63876,             0.83323,             0.82755,             0.54526,            0.033589,           0.0060914,           0.0097682,           0.0096535,           0.0096535,           0.0096535
                   9,            0.043399,            0.022823,            0.024441,             0.72695,              0.6997,             0.83224,             0.54374,            0.028582,           0.0065939,            0.018976,            0.009604,            0.009604,            0.009604
                  10,            0.043673,            0.022547,            0.023573,             0.78901,             0.76914,             0.79813,             0.48485,            0.040464,           0.0057364,           0.0067339,           0.0095545,           0.0095545,           0.0095545
                  11,            0.043105,            0.021921,            0.021868,             0.66527,             0.81111,             0.79563,             0.55243,            0.029744,           0.0059378,            0.011777,            0.009505,            0.009505,            0.009505
                  12,            0.042172,            0.022389,              0.0194,             0.82568,             0.71128,              0.8349,             0.53666,            0.032267,           0.0056236,           0.0068513,           0.0094555,           0.0094555,           0.0094555
                  13,            0.041347,            0.021798,            0.019234,             0.81186,             0.80049,              0.8683,              0.5885,            0.026286,           0.0064189,           0.0076093,            0.009406,            0.009406,            0.009406
                  14,            0.040945,            0.021788,             0.01805,             0.84791,             0.77818,             0.85869,             0.62131,            0.026008,           0.0056803,           0.0050584,           0.0093565,           0.0093565,           0.0093565
                  15,            0.040932,            0.021748,            0.017373,             0.86988,             0.75216,             0.85751,             0.53452,            0.027093,           0.0060921,            0.010191,            0.009307,            0.009307,            0.009307
                  16,            0.041251,            0.021799,            0.017177,             0.72561,             0.86365,             0.86932,             0.63445,            0.026803,           0.0053861,           0.0044573,           0.0092575,           0.0092575,           0.0092575
                  17,            0.039401,            0.021372,            0.016232,             0.84004,             0.83791,             0.88855,             0.56539,            0.027854,           0.0061381,           0.0043862,            0.009208,            0.009208,            0.009208
                  18,            0.039613,            0.021792,            0.014634,               0.815,             0.82286,             0.89586,             0.57459,            0.028252,           0.0054715,            0.004038,           0.0091585,           0.0091585,           0.0091585
                  19,             0.03933,            0.020872,            0.013406,             0.64959,             0.87778,             0.84352,               0.577,            0.026633,           0.0056157,           0.0054774,            0.009109,            0.009109,            0.009109
                  20,            0.038182,            0.020689,             0.01275,             0.77853,             0.86775,             0.94021,             0.64511,            0.025367,           0.0057273,           0.0035731,           0.0090595,           0.0090595,           0.0090595
                  21,            0.038649,             0.02082,            0.014763,             0.73985,             0.92626,             0.91435,             0.61464,            0.023024,           0.0051849,           0.0029533,             0.00901,             0.00901,             0.00901
                  22,            0.037837,            0.020612,            0.012566,             0.77622,             0.91002,             0.94218,             0.64687,            0.024022,           0.0052857,           0.0036064,           0.0089605,           0.0089605,           0.0089605
                  23,            0.037594,            0.020999,            0.011083,             0.71454,             0.96761,             0.94023,             0.69129,            0.029068,            0.004703,           0.0033644,            0.008911,            0.008911,            0.008911
                  24,            0.036387,            0.020496,            0.012872,             0.88516,             0.87518,             0.95443,             0.64361,            0.030091,           0.0054085,           0.0021684,           0.0088615,           0.0088615,           0.0088615
                  25,            0.036452,            0.020592,            0.012746,              0.7757,             0.87746,             0.87726,             0.64099,            0.025542,           0.0057218,           0.0036815,            0.008812,            0.008812,            0.008812
                  26,            0.036398,            0.020241,            0.011992,             0.87518,              0.8554,             0.89465,             0.63449,            0.025569,           0.0058944,            0.002589,           0.0087625,           0.0087625,           0.0087625
                  27,             0.03626,            0.020678,            0.010789,             0.86695,              0.8417,              0.8675,             0.59531,            0.027901,           0.0055315,           0.0043604,            0.008713,            0.008713,            0.008713
                  28,             0.03524,            0.020471,            0.011123,             0.86333,             0.84489,             0.92445,             0.58519,            0.033855,             0.00611,           0.0026577,           0.0086635,           0.0086635,           0.0086635
                  29,             0.03652,            0.020131,           0.0096939,             0.82054,             0.84272,             0.93332,              0.6607,            0.030306,           0.0055909,           0.0028278,            0.008614,            0.008614,            0.008614
                  30,            0.036458,            0.020247,           0.0096452,             0.76702,             0.93111,             0.93083,             0.62698,            0.020986,            0.005549,           0.0020097,           0.0085645,           0.0085645,           0.0085645
                  31,            0.033955,             0.02013,           0.0094303,             0.87325,             0.86012,             0.93282,             0.60409,            0.026144,            0.005722,           0.0026456,            0.008515,            0.008515,            0.008515
                  32,            0.034451,            0.019946,           0.0094525,             0.92961,             0.81832,             0.93261,             0.59618,            0.028659,           0.0054488,           0.0026035,           0.0084655,           0.0084655,           0.0084655
                  33,            0.035426,            0.019588,            0.010368,             0.87453,             0.85812,             0.92761,             0.63222,            0.025369,           0.0054507,           0.0021642,            0.008416,            0.008416,            0.008416
                  34,            0.035167,            0.020435,            0.010014,             0.88087,             0.83974,              0.9118,             0.67428,            0.022947,           0.0062265,           0.0032489,           0.0083665,           0.0083665,           0.0083665
                  35,            0.033773,            0.019901,           0.0096077,             0.78479,             0.81128,             0.89083,             0.61884,            0.021763,           0.0055034,           0.0043459,            0.008317,            0.008317,            0.008317
                  36,            0.033967,             0.01968,           0.0087998,             0.88338,             0.82143,             0.92784,             0.65805,            0.022995,            0.005579,           0.0020371,           0.0082675,           0.0082675,           0.0082675
                  37,            0.033146,            0.019816,           0.0087697,             0.87232,             0.85836,             0.93179,             0.64872,            0.022768,            0.005609,           0.0021629,            0.008218,            0.008218,            0.008218
                  38,            0.033825,            0.019551,           0.0094274,             0.74085,             0.95538,             0.95636,             0.68343,            0.029551,           0.0053933,           0.0014785,           0.0081685,           0.0081685,           0.0081685
                  39,            0.034442,            0.020132,           0.0085476,             0.84967,             0.94622,             0.95871,              0.6715,            0.029317,           0.0051301,           0.0014906,            0.008119,            0.008119,            0.008119
                  40,            0.034396,             0.02013,           0.0073912,             0.79974,             0.94938,             0.96128,             0.66234,            0.023722,           0.0050721,           0.0017146,           0.0080695,           0.0080695,           0.0080695
                  41,            0.032499,            0.019357,            0.008577,             0.81611,             0.92258,             0.89178,             0.64038,            0.024457,           0.0055161,           0.0015268,             0.00802,             0.00802,             0.00802
                  42,             0.03249,            0.019353,           0.0075012,              0.8126,             0.94004,             0.93303,              0.6147,            0.023053,           0.0054548,           0.0019164,           0.0079705,           0.0079705,           0.0079705
                  43,            0.032409,            0.019239,           0.0073837,             0.76362,             0.93111,             0.93388,             0.66652,             0.02059,           0.0049708,           0.0016663,            0.007921,            0.007921,            0.007921
                  44,             0.03251,            0.019239,           0.0081028,             0.84788,             0.89013,             0.91234,             0.66221,            0.026773,           0.0056541,            0.003287,           0.0078715,           0.0078715,           0.0078715
                  45,            0.032022,            0.018952,            0.007691,             0.75289,             0.93812,             0.89269,             0.62004,            0.022901,           0.0055196,           0.0014707,            0.007822,            0.007822,            0.007822
                  46,            0.032318,            0.019047,           0.0078803,             0.87493,             0.87771,             0.95839,             0.68002,            0.022182,           0.0051677,           0.0016783,           0.0077725,           0.0077725,           0.0077725
                  47,             0.03193,            0.018755,           0.0069851,             0.81615,              0.9501,             0.96395,             0.65843,            0.024529,           0.0052817,           0.0017213,            0.007723,            0.007723,            0.007723
                  48,            0.031485,            0.018478,           0.0072179,             0.78859,             0.93092,             0.92495,               0.711,            0.022463,           0.0056214,           0.0025359,           0.0076735,           0.0076735,           0.0076735
                  49,            0.031957,            0.018426,           0.0079071,              0.7842,             0.92887,              0.9249,             0.67231,            0.019798,           0.0055563,           0.0033621,            0.007624,            0.007624,            0.007624
                  50,            0.031263,            0.018645,           0.0066274,             0.81554,             0.91444,             0.93717,             0.70019,            0.021147,            0.005594,           0.0020736,           0.0075745,           0.0075745,           0.0075745
                  51,            0.030962,            0.018682,           0.0063295,             0.83808,              0.9278,             0.92435,             0.66327,            0.022065,           0.0055196,           0.0012156,            0.007525,            0.007525,            0.007525
                  52,            0.030196,            0.018403,           0.0071007,             0.86785,             0.87459,             0.96241,             0.62291,            0.025945,           0.0051689,           0.0010164,           0.0074755,           0.0074755,           0.0074755
                  53,            0.030988,             0.01868,             0.00692,             0.79821,             0.95025,             0.96588,              0.6774,            0.024074,           0.0049062,           0.0011599,            0.007426,            0.007426,            0.007426
                  54,            0.029844,            0.018698,           0.0076182,             0.90747,             0.84047,             0.92855,             0.64792,            0.023711,           0.0057075,           0.0014555,           0.0073765,           0.0073765,           0.0073765
                  55,            0.030436,            0.018698,           0.0070801,             0.77445,             0.95407,              0.9625,             0.68695,            0.022355,           0.0053358,            0.001276,            0.007327,            0.007327,            0.007327
                  56,            0.029844,            0.018058,            0.006483,             0.90894,             0.86888,             0.96576,             0.71883,            0.018334,           0.0053282,            0.001302,           0.0072775,           0.0072775,           0.0072775
                  57,            0.030477,            0.018411,           0.0061463,             0.90065,             0.85822,             0.93172,             0.69572,            0.021731,           0.0058241,           0.0016555,            0.007228,            0.007228,            0.007228
                  58,            0.030207,            0.017919,           0.0063807,             0.87695,             0.92273,             0.95684,             0.68025,             0.02462,           0.0050955,            0.001281,           0.0071785,           0.0071785,           0.0071785
                  59,            0.030555,            0.018104,           0.0062563,             0.84434,             0.91761,             0.93488,             0.71908,            0.022193,           0.0055208,            0.002287,            0.007129,            0.007129,            0.007129
                  60,            0.030519,            0.018378,           0.0065495,             0.88062,             0.81747,             0.92926,             0.67684,            0.022483,           0.0057609,           0.0023324,           0.0070795,           0.0070795,           0.0070795
                  61,            0.030374,            0.018251,           0.0060072,             0.87339,             0.86083,              0.9247,             0.63609,            0.021848,           0.0059686,           0.0016771,             0.00703,             0.00703,             0.00703
                  62,             0.02971,            0.018319,           0.0064267,             0.87269,             0.93111,             0.93668,             0.66403,            0.021111,           0.0058188,           0.0011548,           0.0069805,           0.0069805,           0.0069805
                  63,            0.029597,            0.018371,           0.0057096,             0.78548,             0.93111,             0.93573,             0.63613,            0.024776,            0.005887,           0.0011526,            0.006931,            0.006931,            0.006931
                  64,            0.030266,            0.017855,           0.0052433,             0.87231,             0.93036,             0.92049,             0.64204,            0.024633,           0.0056727,           0.0013174,           0.0068815,           0.0068815,           0.0068815
                  65,            0.028285,            0.017238,           0.0054716,             0.93134,             0.77915,             0.93991,             0.70725,            0.022969,           0.0047953,           0.0011919,            0.006832,            0.006832,            0.006832
                  66,             0.02953,            0.017914,           0.0059658,             0.83301,             0.93111,             0.93219,             0.68498,            0.026459,           0.0056543,           0.0013784,           0.0067825,           0.0067825,           0.0067825
